name,128,64,32,16,8,4,2,1
Andy Murray,100.0\%,95.75\%,91.16\%,85.92\%,77.96\%,67.48\%,54.01\%,36.8\%
Novak Djokovic,100.0\%,93.82\%,88.12\%,81.67\%,72.49\%,60.9\%,45.7\%,26.56\%
Rafael Nadal,100.0\%,91.06\%,81.64\%,72.4\%,60.2\%,45.58\%,26.05\%,12.91\%
Roger Federer,100.0\%,88.66\%,78.69\%,68.12\%,54.98\%,39.01\%,19.0\%,8.15\%
Milos Raonic,100.0\%,87.17\%,75.98\%,64.16\%,50.29\%,30.67\%,14.13\%,5.79\%
Stanislas Wawrinka,100.0\%,84.61\%,69.78\%,56.12\%,41.33\%,25.63\%,10.56\%,3.4\%
Dominic Thiem,100.0\%,84.22\%,69.49\%,55.89\%,40.1\%,20.27\%,7.63\%,2.57\%
Marin Cilic,100.0\%,83.68\%,67.22\%,52.52\%,36.49\%,16.61\%,5.6\%,2.06\%
Kei Nishikori,100.0\%,82.47\%,66.92\%,52.76\%,35.87\%,16.08\%,5.33\%,1.88\%
Marcelo Arevalo,100.0\%,79.06\%,55.88\%,34.06\%,18.12\%,8.53\%,3.59\%,1.65\%
Alexander Zverev,100.0\%,81.37\%,63.56\%,48.61\%,31.33\%,12.75\%,3.86\%,1.26\%
David Goffin,100.0\%,79.64\%,62.0\%,45.63\%,27.97\%,10.1\%,2.93\%,1.06\%
Nick Kyrgios,100.0\%,80.86\%,64.87\%,48.95\%,23.59\%,8.19\%,2.76\%,1.05\%
Jo Wilfried Tsonga,100.0\%,78.67\%,59.64\%,43.11\%,24.36\%,8.28\%,2.4\%,0.78\%
Grigor Dimitrov,100.0\%,78.94\%,61.01\%,44.4\%,25.8\%,9.06\%,2.47\%,0.71\%
Tomas Berdych,100.0\%,78.81\%,60.57\%,45.17\%,24.26\%,8.39\%,2.41\%,0.65\%
Gael Monfils,100.0\%,77.67\%,58.77\%,42.67\%,20.86\%,6.44\%,1.73\%,0.51\%
Juan Martin Del Potro,100.0\%,76.21\%,57.6\%,34.29\%,13.08\%,3.93\%,1.16\%,0.38\%
Jack Sock,100.0\%,75.09\%,55.99\%,39.17\%,19.12\%,5.64\%,1.22\%,0.36\%
Ilya Ivashka,100.0\%,63.59\%,36.53\%,15.35\%,5.24\%,1.71\%,0.71\%,0.35\%
Lucas Pouille,100.0\%,72.76\%,51.72\%,34.9\%,14.09\%,3.83\%,1.0\%,0.25\%
Pablo Cuevas,100.0\%,69.4\%,46.27\%,28.22\%,8.85\%,2.27\%,0.54\%,0.2\%
Richard Gasquet,100.0\%,73.76\%,52.26\%,33.34\%,11.66\%,3.03\%,0.89\%,0.19\%
